	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
2250	Tricholoma matsutake	40145	PRJDB13842	863136	Fungi	Basidiomycetes	161.041	45.5011	GCA_026075535.2	chromosome 1:AP026538.1; chromosome 2:AP026539.1; chromosome 3:AP026540.1; chromosome 4:AP026541.1; chromosome 5:AP026542.1; chromosome 6:AP026543.1; chromosome 7:AP026544.2; chromosome 8:AP026545.1; chromosome 9:AP026546.1; chromosome 10:AP026547.1; chromosome 11:AP026548.1; chromosome 12:AP026549.1; chromosome 13:AP026550.1		13			2022/07/28	2022/07/28	Chromosome	Kazusa DNA Research Institute	SAMD00509864
2292	Choiromyces venosus 120613-1	1336337	PRJNA204096	204096	Fungi	Ascomycetes	126.035	43.7	GCA_003788595.2		PZQU01	1176	18202.0	17934.0	2018/11/16	2018/11/20	Scaffold	DOE Joint Genome Institute	SAMN02745028
2344	Sphaerobolus stellatus SS14	990650	PRJNA207858	207858	Fungi	Basidiomycetes	176.372	45.9	GCA_000827215.1		JOMA01	1460	36095.0	35181.0	2015/01/21	2016/04/15	Scaffold	DOE Joint Genome Institute	SAMN00794633
2361	Rhizophagus irregularis	588596	PRJNA885267	885267	Fungi	Other Fungi	146.773	27.8448	GCA_026210795.1	chromosome 1:CP110689.1; chromosome 2:CP110690.1; chromosome 3:CP110691.1; chromosome 4:CP110692.1; chromosome 5:CP110693.1; chromosome 6:CP110694.1; chromosome 7:CP110695.1; chromosome 8:CP110696.1; chromosome 9:CP110697.1; chromosome 10:CP110698.1; chromosome 11:CP110699.1; chromosome 12:CP110700.1; chromosome 13:CP110701.1; chromosome 14:CP110702.1; chromosome 15:CP110703.1; chromosome 16:CP110704.1; chromosome 17:CP110705.1; chromosome 18:CP110706.1; chromosome 19:CP110707.1; chromosome 20:CP110708.1; chromosome 21:CP110709.1; chromosome 22:CP110710.1; chromosome 23:CP110711.1; chromosome 24:CP110712.1; chromosome 25:CP110713.1; chromosome 26:CP110714.1; chromosome 27:CP110715.1; chromosome 28:CP110716.1; chromosome 29:CP110717.1; chromosome 30:CP110718.1; chromosome 31:CP110719.1; chromosome 32:CP110720.1		32	30190.0	31196.0	2022/11/16	2022/11/16	Chromosome	Royal Botanic Gardens Kew	SAMN31081226
2371	Oehlia diaphana	118614	PRJNA477348	477348	Fungi	Other Fungi	170.599		GCA_003833135.1		QZLH01	15410			2018/11/26	2018/11/26	Scaffold	University of Ottawa	SAMN09466958
2435	Glomus cerebriforme	658196	PRJNA430010	430010	Fungi	Other Fungi	136.821	21.8	GCA_003550305.1		QKYT01	2571	21336.0	21158.0	2018/09/12	2021/01/14	Scaffold	INRA 	SAMN08364855
2598	Austropuccinia psidii	181123	PRJNA810573	810573	Fungi	Basidiomycetes	1016.26	37.4	GCA_023105745.1	mitochondrion MT:CM041299.1	JALGQZ01	105			2022/04/25	2022/06/17	Scaffold	University of Sydney	SAMN26267418
2868	Uromyces viciae-fabae	55588	PRJNA248166	248166	Fungi	Basidiomycetes	215.71	35.9	GCA_000785685.1		JNCO01	59737			2014/11/20	2014/11/20	Scaffold	Universitaet Hohenheim	SAMN02794011
3425	Entomophthora muscae	34485	PRJNA479887	479887	Fungi	Other Fungi	1031.19	41.0	GCA_014839935.2		QTSX02	7810	39703.0	42657.0	2020/10/02	2023/05/18	Scaffold	University of California, Berkeley	SAMN09621101
3460	Leucoagaricus sp. SymC.cos	1714833	PRJNA295288	295288	Fungi	Basidiomycetes	119.028	44.7	GCA_001563735.1		LSHD01	20457	12918.0	12834.0	2016/02/18	2016/02/25	Scaffold	BGI	SAMN04045427
3887	Smittium mucronatum	133383	PRJNA311769	311769	Fungi	Other Fungi	102.351	25.7	GCA_001953115.1		LSSL01	7797	8372.0	8247.0	2017/01/17	2018/11/23	Scaffold	University of Toronto	SAMN04489862
3990	Neocallimastix californiae	1754190	PRJNA262392	262392	Fungi	Other Fungi	193.032	18.2	GCA_002104975.1		MCOG01	1819	21039.0	20214.0	2017/04/20	2017/04/20	Contig	DOE Joint Genome Institute	SAMN05428678
4032	Pecoramyces ruminantium	1987568	PRJNA200719	200719	Fungi	Other Fungi	100.954	17.0	GCA_000412615.1		ASRE01	32574			2013/06/19	2014/08/11	Contig	Oklahoma State University	SAMN02981539
4377	Puccinia coronata f. sp. avenae	200324	PRJNA398546	398546	Fungi	Basidiomycetes	150.468	44.8	GCA_002873125.1		PGCI01	1636	26796.0	26323.0	2018/01/08	2018/01/08	Contig	University of Minnesota	SAMN07514588
4476	Uromyces transversalis	462795	PRJNA427830	427830	Fungi	Basidiomycetes	199.233	41.2	GCA_002994555.1		PTJR01	466181			2018/03/12	2018/03/12	Contig	University of Georgia	SAMN08274587
4650	Tuber magnatum	42249	PRJNA439374	439374	Fungi	Ascomycetes	192.781	40.0	GCA_003182015.1		PYWC01	1283	9593.0	9431.0	2018/05/31	2021/01/13	Scaffold	INRA	SAMN08765109
4658	Rhizophagus clarus	94130	PRJDB8680	678886	Fungi	Other Fungi	146.836	27.8	GCA_015698045.1		BLAL01	360	30348.0	32541.0	2020/11/13	2020/11/14	Contig	NIBB core research facilities, National Institues for Basic Biology	SAMD00190756
4718	Cantharellus appalachiensis	409893	PRJNA454572	454572	Fungi	Basidiomycetes	131.127	50.4	GCA_003314335.1		QLPK01	31146			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010644
4732	Cantharellus lutescens	104198	PRJNA454572	454572	Fungi	Basidiomycetes	160.367	51.1	GCA_003314295.1		QLPH01	65942			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010650
4774	Tricholoma bakamatsutake	51221	PRJNA914084	914084	Fungi	Basidiomycetes	142.191	43.9088	GCA_029959215.1	chromosome 1:CP114857.1; chromosome 2:CP114858.1; chromosome 3:CP114859.1; chromosome 4:CP114860.1; chromosome 5:CP114861.1; chromosome 6:CP114862.1; chromosome 7:CP114863.1; chromosome 8:CP114864.1; chromosome 9:CP114865.1; chromosome 10:CP114866.1; chromosome 11:CP114867.1; chromosome 12:CP114868.1; chromosome 13:CP114869.1; mitochondrion MT:CP114870.1		14			2023/05/09	2023/05/09	Complete Genome	RIKEN	SAMN32318059
4781	Tricholoma flavovirens	80606	PRJNA454572	454572	Fungi	Basidiomycetes	119.315	44.3	GCA_003313805.1		QLOK01	49305			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010705
4795	Albatrellus ellisii	80570	PRJNA454572	454572	Fungi	Basidiomycetes	122.762	44.4	GCA_003314395.1		QLPN01	30562			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010628
4797	Chroogomphus rutilus	85976	PRJNA454572	454572	Fungi	Basidiomycetes	205.403	45.7	GCA_003314275.1		QLPI01	64251			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010647
4798	Gomphus sp. MG54	2175977	PRJNA454572	454572	Fungi	Basidiomycetes	204.967	45.5	GCA_003314385.1		QLPG01	64090			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010652
4805	Tricholoma sp. MG77	2175963	PRJNA454572	454572	Fungi	Basidiomycetes	118.334	45.5	GCA_003314665.1		QMFE01	53256			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010708
4822	Gomphus bonarii	104221	PRJNA454572	454572	Fungi	Basidiomycetes	116.109		GCA_003316585.1		QFEC01	83801			2018/07/13	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010651
4826	Tuber calosporum	1894963	PRJNA454572	454572	Fungi	Ascomycetes	171.988		GCA_003316355.1		QFET01	26186			2018/07/13	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010711
4888	Rhizophagus sp. MUCL 43196	1803374	PRJNA430014	430014	Fungi	Other Fungi	125.863	23.8	GCA_003549995.1		QKKE01	2757	23118.0	23014.0	2018/08/30	2021/01/14	Scaffold	INRA 	SAMN08364867
5174	Jimgerdemannia lactiflua	324621	PRJNA494432	494432	Fungi	Other Fungi	179.668	44.4	GCA_003951145.1		RQIL01	45525			2018/12/17	2018/12/17	Contig	Oregon State University	SAMN10169340
5196	Jimgerdemannia flammicorona	994334	PRJNA331664	331664	Fungi	Other Fungi	239.575	42.7	GCA_003990745.1		RBNI01	33875	13276.0	13535.0	2018/12/31	2018/12/31	Contig	DOE Joint Genome Institute	SAMN05444478
5208	Neonothopanus nambi	71958	PRJNA476325	476325	Fungi	Basidiomycetes	103.544		GCA_003987895.1		RCHF01	14713			2018/12/31	2018/12/31	Contig	Universidade de Sao Paulo	SAMN10215881
5304	Monosporascus sp. CRB-8-3	2211644	PRJNA471727	471727	Fungi	Ascomycetes	102.961	35.7	GCA_004155055.1		QJNZ01	2382	11774.0	11774.0	2019/02/11	2019/02/11	Scaffold	University of New Mexico	SAMN09215319
5374	Colletotrichum trifolii	5466	PRJNA506861	506861	Fungi	Ascomycetes	109.66	35.2	GCA_004367215.1		RYZW01	10473	12292.0	12292.0	2019/03/22	2019/03/22	Scaffold	RIKEN	SAMN10475057
5391	Diversispora epigaea	1348612	PRJNA431769	431769	Fungi	Other Fungi	156.577	25.1	GCA_003547095.1		PQFF01	731	28348.0	28348.0	2018/09/12	2019/03/28	Scaffold	Cornell University	SAMN08400201
5496	Tuber indicum	55307	PRJNA542762	542762	Fungi	Ascomycetes	118.706	47.2	GCA_006112555.1		VBSK01	426			2019/06/06	2019/06/06	Contig	College of Pharmacy and Biological Engineering	SAMN11638059
5703	Massospora cicadina	348617	PRJNA795459	795459	Fungi	Other Fungi	1488.88	41.1	GCA_022478985.1		JAKSZP01	19694	7532.0	5453.0	2022/03/04	2022/03/04	Contig	University of California, Riverside	SAMN24722893
5704	Massospora platypediae	2213018	PRJNA474587	474587	Fungi	Other Fungi	2054.32	36.0	GCA_006912095.1		QKRY01	2082773			2019/07/11	2021/01/04	Contig	University of California, Riverside	SAMN09302092
5705	Golovinomyces magnicellulatus	62714	PRJNA540711	540711	Fungi	Ascomycetes	129.925	44.0	GCA_006912115.1		VCMJ01	83551	8172.0	8172.0	2019/07/11	2019/07/11	Scaffold	The Ohio State University	SAMN11554066
5808	Puccinia hordei	27345	PRJNA495764	495764	Fungi	Basidiomycetes	206.919	41.6	GCA_007896445.1		RDRW01	838			2019/08/07	2019/08/07	Contig	University of Sydney	SAMN10231348
6139	Podosphaera xanthii	135283	PRJNA913294	913294	Fungi	Ascomycetes	152.749	43.3	GCA_028751805.1		JAPWIX01	58			2023/02/21	2023/02/21	Contig	Yangzhou University	SAMN32290005
6277	Scortechinia acanthostroma	714430	PRJNA595694	595694	Fungi	Ascomycetes	180.836	59.6	GCA_011319215.2		JAABUG02	182691			2020/03/16	2020/03/16	Scaffold	Iridian Genomes	SAMN13564822
6281	Bertia moriformis	306125	PRJNA595693	595693	Fungi	Ascomycetes	182.34	60.0	GCA_025802115.2		JAOYNC02	149239			2022/10/23	2023/05/25	Scaffold	IRIDIAN GENOMES	SAMN22513298
6324	Geoglossum cookeanum	566086	PRJNA768661	768661	Fungi	Ascomycetes	194.302	55.6	GCA_021527025.2		JAJDFF02	441801			2022/01/19	2023/02/06	Scaffold	Iridian Genomes	SAMN22060407
6832	Tubaria furfuracea	110255	PRJEB8570	287237	Fungi	Basidiomycetes	152.547	53.5	GCA_900069095.1		CVRC01	537793			2015/06/17	2015/06/17	Scaffold	Royal Botanic Gardens, Kew	SAMEA3267773
6896	Tuber brumale	60458	PRJNA633036	633036	Fungi	Ascomycetes	171.435	43.5	GCA_014065205.1		JACCEG01	1475	12534.0	12380.0	2020/08/05	2021/01/05	Scaffold	INRAE	SAMN14931190
6947	Mycena venus	2733690	PRJNA623720	623720	Fungi	Basidiomycetes	162.188	49.7	GCA_014462655.1		JACAZI01	77	24874.0	24874.0	2020/09/03	2020/09/03	Contig	Academia Sinica	SAMN14825424
6948	Mycena sanguinolenta	230812	PRJNA623720	623720	Fungi	Basidiomycetes	167.18	50.2	GCA_014462675.1		JACAZH01	155	24024.0	24024.0	2020/09/03	2020/09/03	Contig	Academia Sinica	SAMN14825423
7098	Lactarius quietus	111141	PRJNA245616	245616	Fungi	Basidiomycetes	115.902	49.5	GCA_015025155.1		WITN01	2812	19037.0	18941.0	2020/10/27	2020/10/27	Contig	DOE Joint Genome Institute	SAMN02744097
7101	Cantharellus anzutake	1750568	PRJNA691513	691513	Fungi	Basidiomycetes	120.174	49.2	GCA_015039405.1		WJDU01	614	17292.0	16961.0	2020/10/28	2020/10/28	Contig	NCBI	SAMN02745813
7332	Hysterangium stoloniferum	150792	PRJNA234406	234406	Fungi	Basidiomycetes	111.843	44.1	GCA_015178975.1		WHVD01	652	16221.0	15018.0	2020/11/02	2020/11/02	Contig	DOE Joint Genome Institute	SAMN05660837
7336	Trichophaea hybrida	47213	PRJNA332041	332041	Fungi	Ascomycetes	144.184	44.9	GCA_015178995.1		WHVE01	1794	13720.0	13307.0	2020/11/02	2020/11/02	Contig	DOE Joint Genome Institute	SAMN05518955
7337	Gautieria morchelliformis	112417	PRJNA256705	256705	Fungi	Basidiomycetes	122.808	49.9	GCA_015179125.1		WHVA01	1220	20442.0	20332.0	2020/11/02	2020/11/02	Contig	DOE Joint Genome Institute	SAMN02946264
7354	Ramaria rubella	113071	PRJNA196021	196021	Fungi	Basidiomycetes	105.462	46.0	GCA_015039355.1		WIQE01	1553	20376.0	20275.0	2020/10/27	2020/11/10	Scaffold	DOE Joint Genome Institute	SAMN02745027
7376	Cyathus striatus	68777	PRJNA868901	868901	Fungi	Basidiomycetes	107.511	42.9	GCA_025738555.1		JAOVFP01	24			2022/10/17	2022/10/17	Contig	Northwest A&F University	SAMN30276041
7534	Suillus subluteus	48588	PRJNA566866	566866	Fungi	Basidiomycetes	114.207	47.2	GCA_016647755.1		JABBWI01	684	22864.0	22673.0	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN12793125
7541	Geosiphon pyriformis	50956	PRJNA610605	610605	Fungi	Other Fungi	128.32	28.4	GCA_016748015.1		JAAOMT01	792	24009.0	23936.0	2021/01/25	2021/08/23	Scaffold	University of Ottawa	SAMN14307302
7635	Phymatotrichopsis omnivora	231936	PRJNA641071	641071	Fungi	Ascomycetes	109.037	43.7	GCA_016880775.1		JABYPW01	22063			2021/02/12	2021/02/12	Scaffold	Noble Research Institute	SAMN15340118
7664	Neocallimastix sp. JGI-2020a	2767002	PRJNA658393	658393	Fungi	Other Fungi	200.97	18.3	GCA_016946835.1		JACVTC01	969	29690.0	27675.0	2021/02/24	2021/02/24	Contig	DOE Joint Genome Institute	SAMN15902602
8459	Termitomyces sp. T123_Mx157	2053457	PRJNA417766	417766	Fungi	Basidiomycetes	121.494	50.7	GCA_018849495.1		JABFYK01	116375			2021/06/11	2021/06/11	Scaffold	Wageningen University and Research	SAMN08006772
8465	Termitomyces sp. DKA19	2727724	PRJNA417766	417766	Fungi	Basidiomycetes	108.29	16.8	GCA_018851325.1		JABCKS01	49703			2021/06/11	2021/06/11	Scaffold	Wageningen University and Research	SAMN09737566
8696	Phyllactinia moricola	57460	PRJNA749662	749662	Fungi	Ascomycetes	180.348	38.7	GCA_019455665.1		JAHYSQ01	45560			2021/08/05	2021/12/02	Scaffold	RWTH Aachen University	SAMN20395957
8702	Blumeria hordei DH14	546991	PRJEB23502	448101	Fungi	Ascomycetes	124.489	43.5	GCA_900239735.1		OENG01	318			2018/03/31	2018/03/31	Scaffold	RWTH Aachen University	SAMEA104393677
9228	Coprinopsis sp. MPI-PUGE-AT-0042	2826081	PRJNA347200	347200	Fungi	Basidiomycetes	121.013	51.1	GCA_020736565.1		JAHBOF01	486	27829.0	27370.0	2021/11/02	2021/11/08	Contig	DOE Joint Genome Institute	SAMN05877944
9261	Ambispora leptoticha	144679	PRJEB45340	768188	Fungi	Other Fungi	197.202	23.6	GCA_910591765.1		CAJVPS01	58506	14642.0	14642.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911307
9262	Dentiscutata heterogama	1316150	PRJEB45340	768188	Fungi	Other Fungi	181.574	27.8	GCA_910591775.1		CAJVPU01	61528	16277.0	16277.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911296
9263	Acaulospora morrowiae	94023	PRJEB45340	768188	Fungi	Other Fungi	218.774	27.9	GCA_910591835.1		CAJVPV01	64585	18394.0	18394.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911292
9264	Funneliformis caledonium	1117310	PRJEB45340	768188	Fungi	Other Fungi	146.163	26.0	GCA_910591825.1		CAJVPQ01	31052	17946.0	17946.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911289
9265	Cetraspora pellucida	1433469	PRJEB45340	768188	Fungi	Other Fungi	435.083	26.0	GCA_910591915.1		CAJVQA01	90930	22053.0	22053.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911298
9266	Dentiscutata erythropus	1348616	PRJEB45340	768188	Fungi	Other Fungi	293.539	28.3	GCA_910591965.1		CAJVPY01	73964	28764.0	28764.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911297
9267	Acaulospora colombiana	27376	PRJEB45340	768188	Fungi	Other Fungi	299.808	29.4	GCA_910592055.1		CAJVPT01	75131	14505.0	14505.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911291
9270	Funneliformis mosseae	27381	PRJEB45340	768188	Fungi	Other Fungi	145.72	25.2	GCA_910592005.1		CAJVPP01	27134	16857.0	16857.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911288
9274	Racocetra fulgida	60492	PRJEB45340	768188	Fungi	Other Fungi	295.994	28.4	GCA_910592135.1		CAJVPZ01	105307			2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911301
9276	Scutellospora calospora	85575	PRJEB45340	768188	Fungi	Other Fungi	147.042	26.4	GCA_910592325.1		CAJVPM01	50548	11479.0	11479.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911302
9379	Racocetra persica	160502	PRJEB45340	768188	Fungi	Other Fungi	353.07	27.1	GCA_910592285.1		CAJVQC01	181541			2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911300
9469	Rhizophagus sp. LPA8_1_AMF	2792439	PRJNA670049	670049	Fungi	Other Fungi	117.196	27.1	GCA_021464375.1		JADRCM01	15685			2022/01/14	2022/01/14	Contig	EPFL	SAMN16522167
9470	Rhizophagus sp. LPA8_3_AMF	2792440	PRJNA670049	670049	Fungi	Other Fungi	116.806	27.1	GCA_021464405.1		JADRCN01	15743			2022/01/14	2022/01/14	Contig	EPFL	SAMN16522168
9471	Rhizophagus sp. LPA8_4_AMF	2792441	PRJNA670049	670049	Fungi	Other Fungi	117.201	27.1	GCA_021464525.1		JADRCO01	15789			2022/01/14	2022/01/14	Contig	EPFL	SAMN16522169
9570	Melampsora americana	2182807	PRJNA460338	460338	Fungi	Basidiomycetes	112.349	40.0	GCA_022264835.1		JAIFHY01	389	16420.0	15983.0	2022/02/15	2022/02/15	Contig	DOE Joint Genome Institute	SAMN09077536
9588	Nothomitra cinnamomea	1167255	PRJNA481553	481553	Fungi	Ascomycetes	180.956	47.5	GCA_022345685.2		JAJDMX02	433144			2022/02/20	2023/02/06	Scaffold	IRIDIAN GENOMES	SAMN09683608
9939	Galerina sulciceps	1891968	PRJNA679796	679796	Fungi	Basidiomycetes	101.886	47.8	GCA_023014345.1		JAEDXJ01	137			2022/04/15	2022/04/15	Contig	Kunming Institute of Botany	SAMN16846670
10654	Mycena sp. WM	2831172	PRJNA725593	725593	Fungi	Basidiomycetes	166.986	49.7	GCA_023547045.1		JAHHPV01	63394			2022/05/16	2022/05/25	Scaffold	Institute of Microbiology, Chinese Academy of Sciences	SAMN18883860
10705	Pisolithus marmoratus	178871	PRJNA500288	500288	Fungi	Basidiomycetes	122.385	48.1	GCA_024613145.1		JANFAE01	1188	22342.0	21752.0	2022/08/10	2022/08/10	Contig	DOE Joint Genome Institute	SAMN10362881
10989	Puccinia polysora	684837	PRJNA881038	881038	Fungi	Basidiomycetes	1711.19	40.0809	GCA_025617555.3	chromosome 1A:CM062612.1; chromosome 1B:CM062613.1; chromosome 2A:CM062614.1; chromosome 2B:CM062615.1; chromosome 3A:CM062616.1; chromosome 3B:CM062617.1; chromosome 4A:CM062618.1; chromosome 4B:CM062619.1; chromosome 5A:CM062620.1; chromosome 5B:CM062621.1; chromosome 6A:CM062622.1; chromosome 6B:CM062623.1; chromosome 7A:CM062624.1; chromosome 7B:CM062625.1; chromosome 8A:CM062626.1; chromosome 8B:CM062627.1; chromosome 9A:CM062628.1; chromosome 9B:CM062629.1; chromosome 10A:CM062630.1; chromosome 10B:CM062631.1; chromosome 11A:CM062632.1; chromosome 11B:CM062633.1; chromosome 12A:CM062634.1; chromosome 12B:CM062635.1; chromosome 13A:CM062636.1; chromosome 13B:CM062637.1; chromosome 14A:CM062638.1; chromosome 14B:CM062639.1; chromosome 15A:CM062640.1; chromosome 15B:CM062641.1; chromosome 16A:CM062642.1; chromosome 16B:CM062643.1; chromosome 17A:CM062644.1; chromosome 17B:CM062645.1; chromosome 18A:CM062646.1; chromosome 18B:CM062647.1	JAOOQA01	72			2022/10/07	2022/11/17	Chromosome	The Institute of Microbiology of the Chinese Academy of Sciences	SAMN30885116
11093	Iodosphaeria phyllophila	2699371	PRJNA619439	619439	Fungi	Ascomycetes	430.532		GCA_025802455.2		JAOYMO02	459236			2022/10/23	2023/06/01	Scaffold	Iridian Genomes	SAMN14492368
11419	Ophiocordyceps robertsii	169037	PRJNA630494	630494	Fungi	Ascomycetes	102.727	37.6	GCA_027405785.1		JAPEBW01	5728			2022/12/27	2022/12/27	Contig	University of Melbourne	SAMN14838459
11697	Lentinula aciculospora	153920	PRJNA713174	713174	Fungi	Basidiomycetes	110.953	45.2	GCA_028011355.1		JAOTPV01	290	12073.0	11469.0	2023/01/26	2023/01/27	Contig	DOE Joint Genome Institute	SAMN18259641
11855	Mycena capillaripes	230804	PRJNA370000	370000	Fungi	Basidiomycetes	119.906	50.8	GCA_029204075.1		JARHKZ01	118	37658.0	37254.0	2023/03/14	2023/03/14	Contig	DOE Joint Genome Institute	SAMN06297600
11857	Mycena sp. CBHHK59/15	1940295	PRJNA369991	369991	Fungi	Basidiomycetes	177.78	50.7	GCA_029204085.1		JARGXW01	1786	38645.0	38326.0	2023/03/14	2023/03/14	Contig	DOE Joint Genome Institute	SAMN06295990
11871	Mycena epipterygia	230806	PRJNA444097	444097	Fungi	Basidiomycetes	118.648	51.1	GCA_029281465.1		JARJCQ01	199	38510.0	37557.0	2023/03/20	2023/03/20	Contig	DOE Joint Genome Institute	SAMN08778438
11872	Mycena filopes	858877	PRJNA444099	444099	Fungi	Basidiomycetes	112.005	54.5	GCA_029281495.1		JARIHR01	277	29610.0	29145.0	2023/03/20	2023/03/20	Contig	DOE Joint Genome Institute	SAMN08777210
11876	Mycena albidolilacea	1033008	PRJNA460318	460318	Fungi	Basidiomycetes	126.717	51.0	GCA_029282495.1		JARIHO01	188	37333.0	36935.0	2023/03/20	2023/03/20	Contig	DOE Joint Genome Institute	SAMN09070680
11879	Mycena rebaudengoi	1045383	PRJNA443296	443296	Fungi	Basidiomycetes	218.591	50.3	GCA_029282285.1		JARJCX01	760	53891.0	52291.0	2023/03/20	2023/03/20	Contig	DOE Joint Genome Institute	SAMN08779411
