	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
44	Homo sapiens	9606	PRJNA31257	31257	Animals	Mammals	3298.43	41.4876	GCA_000001405.29	chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2		985	67007.0	138200.0	2002/08/02	2022/04/06	Chromosome	Genome Reference Consortium		2.062471085110511
45	Mus musculus	10090	PRJNA11777	11777	Animals	Mammals	2728.22	41.8825	GCA_000001635.9	chromosome 1:NC_000067.7/CM000994.3; chromosome 2:NC_000068.8/CM000995.3; chromosome 3:NC_000069.7/CM000996.3; chromosome 4:NC_000070.7/CM000997.3; chromosome 5:NC_000071.7/CM000998.3; chromosome 6:NC_000072.7/CM000999.3; chromosome 7:NC_000073.7/CM001000.3; chromosome 8:NC_000074.7/CM001001.3; chromosome 9:NC_000075.7/CM001002.3; chromosome 10:NC_000076.7/CM001003.3; chromosome 11:NC_000077.7/CM001004.3; chromosome 12:NC_000078.7/CM001005.3; chromosome 13:NC_000079.7/CM001006.3; chromosome 14:NC_000080.7/CM001007.3; chromosome 15:NC_000081.7/CM001008.3; chromosome 16:NC_000082.7/CM001009.3; chromosome 17:NC_000083.7/CM001010.3; chromosome 18:NC_000084.7/CM001011.3; chromosome 19:NC_000085.7/CM001012.3; chromosome X:NC_000086.8/CM001013.3; chromosome Y:NC_000087.8/CM001014.3; mitochondrion MT:NC_005089.1/AY172335.1		102	50561.0	92499.0	2004/09/02	2020/09/22	Chromosome	Universidad de Zaragoza		1.8294535313779394
55	Takifugu rubripes	31033	PRJEB31988	530951	Animals	Fishes	384.127	45.6992	GCA_901000725.2	chromosome 1:NC_042285.1/LR584231.2; chromosome 2:NC_042286.1/LR584245.2; chromosome 3:NC_042287.1/LR584237.1; chromosome 4:NC_042288.1/LR584242.2; chromosome 5:NC_042289.1/LR584247.1; chromosome 6:NC_042290.1/LR584250.1; chromosome 7:NC_042291.1/LR584238.1; chromosome 8:NC_042292.1/LR584234.2; chromosome 9:NC_042293.1/LR584246.2; chromosome 10:NC_042294.1/LR584251.2; chromosome 11:NC_042295.1/LR584241.1; chromosome 12:NC_042296.1/LR584248.2; chromosome 13:NC_042297.1/LR584232.1; chromosome 14:NC_042298.1/LR584244.1; chromosome 15:NC_042299.1/LR584240.2; chromosome 16:NC_042300.1/LR584249.2; chromosome 17:NC_042301.1/LR584239.2; chromosome 18:NC_042302.1/LR584252.2; chromosome 19:NC_042303.1/LR584235.1; chromosome 20:NC_042304.1/LR584236.2; chromosome 21:NC_042305.1/LR584233.2; chromosome 22:NC_042306.1/LR584243.1; mitochondrion MT:NC_004299.1/	CAAJGN02	128	27437.0	46760.0	2019/04/09	2021/04/23	Chromosome	Wellcome Sanger Institute	SAMEA104384834	1.7042679593249992
65	Branchiostoma floridae	7739	PRJNA20249	20249	Animals	Other Animals	513.461	41.7036	GCA_000003815.2	chromosome 1:NC_049979.1/CM022886.1; chromosome 2:NC_049980.1/CM022887.1; chromosome 3:NC_049981.1/CM022888.1; chromosome 4:NC_049982.1/CM022889.1; chromosome 5:NC_049983.1/CM022890.1; chromosome 6:NC_049984.1/CM022891.1; chromosome 7:NC_049985.1/CM022892.1; chromosome 8:NC_049986.1/CM022893.1; chromosome 9:NC_049987.1/CM022894.1; chromosome 10:NC_049988.1/CM022895.1; chromosome 11:NC_049989.1/CM022896.1; chromosome 12:NC_049990.1/CM022897.1; chromosome 13:NC_049991.1/CM022898.1; chromosome 14:NC_049992.1/CM022899.1; chromosome 15:NC_049993.1/CM022900.1; chromosome 16:NC_049994.1/CM022901.1; chromosome 17:NC_049995.1/CM022902.1; chromosome 18:NC_049996.1/CM022903.1; chromosome 19:NC_049997.1/CM022904.1; mitochondrion MT:NC_000834.1/	ABEP03	432	29881.0	43041.0	2008/04/24	2020/04/29	Chromosome	DOE Joint Genome Institute	SAMN02953694	1.4404136407750745
67	Coffea arabica	13443	PRJNA506972	506972	Plants	Land Plants	1094.45	36.9585	GCA_003713225.1	chromosome 1c:NC_039898.1/CM011106.1; chromosome 1e:NC_039899.1/CM011107.1; chromosome 2c:NC_039900.1/CM011108.1; chromosome 2e:NC_039901.1/CM011109.1; chromosome 3c:NC_039902.1/CM011110.1; chromosome 3e:NC_039903.1/CM011111.1; chromosome 4c:NC_039904.1/CM011112.1; chromosome 4e:NC_039905.1/CM011113.1; chromosome 5e:NC_039906.1/CM011115.1; chromosome 5c:NC_039907.1/CM011114.1; chromosome 6c:NC_039908.1/CM011116.1; chromosome 6e:NC_039909.1/CM011117.1; chromosome 7c:NC_039910.1/CM011118.1; chromosome 7e:NC_039911.1/CM011119.1; chromosome 8e:NC_039912.1/CM011121.1; chromosome 8c:NC_039913.1/CM011120.1; chromosome 9c:NC_039914.1/CM011122.1; chromosome 9e:NC_039915.1/CM011123.1; chromosome 10e:NC_039916.1/CM011103.1; chromosome 10c:NC_039917.1/CM011102.1; chromosome 11c:NC_039918.1/CM011104.1; chromosome 11e:NC_039919.1/CM011105.1; chloroplast Pltd:NC_008535.1/	RHJU01	2833	56902.0	67222.0	2018/11/06	2018/11/08	Chromosome	NCBI	SAMN10272287	1.1813644511616463
68	Felis catus	9685	PRJNA773801	773801	Animals	Mammals	2425.75	41.8091	GCA_018350175.1	chromosome A1:NC_058368.1/CM031412.1; chromosome A2:NC_058369.1/CM031413.1; chromosome A3:NC_058370.1/CM031414.1; chromosome B1:NC_058371.1/CM031415.1; chromosome B2:NC_058372.1/CM031416.1; chromosome B3:NC_058373.1/CM031417.1; chromosome B4:NC_058374.1/CM031418.1; chromosome C1:NC_058375.1/CM031419.1; chromosome C2:NC_058376.1/CM031420.1; chromosome D1:NC_058377.1/CM031421.1; chromosome D2:NC_058378.1/CM031422.1; chromosome D3:NC_058379.1/CM031423.1; chromosome D4:NC_058380.1/CM031424.1; chromosome E1:NC_058381.1/CM031425.1; chromosome E2:NC_058382.1/CM031426.1; chromosome E3:NC_058383.1/CM031427.1; chromosome F1:NC_058384.1/CM031428.1; chromosome F2:NC_058385.1/CM031429.1; chromosome X:NC_058386.1/CM031411.1; mitochondrion MT:NC_001700.1/	JAFEKA01	71	39307.0	71463.0	2021/05/06	2021/10/18	Chromosome	NCBI	SAMN19729387	1.8180731167476532
70	Xenopus tropicalis	8364	PRJNA577946	577946	Animals	Amphibians	1451.3	40.7533	GCA_000004195.4	chromosome 1:NC_030677.2/CM004443.2; chromosome 2:NC_030678.2/CM004444.2; chromosome 3:NC_030679.2/CM004445.2; chromosome 4:NC_030680.2/CM004446.2; chromosome 5:NC_030681.2/CM004447.2; chromosome 6:NC_030682.2/CM004448.2; chromosome 7:NC_030683.2/CM004449.2; chromosome 8:NC_030684.2/CM004450.2; chromosome 9:NC_030685.2/CM004451.2; chromosome 10:NC_030686.2/CM004452.2; mitochondrion MT:NC_006839.1/	AAMC04	167	28888.0	45099.0	2009/11/13	2019/11/14	Chromosome	University of California, Berkeley	SAMN13041969	1.5611672666851288
71	Bos taurus	9913	PRJNA450837	450837	Animals	Mammals	2770.69	42.0155	GCA_002263795.4	chromosome 1:NC_037328.1/CM008168.2; chromosome 2:NC_037329.1/CM008169.2; chromosome 3:NC_037330.1/CM008170.2; chromosome 4:NC_037331.1/CM008171.2; chromosome 5:NC_037332.1/CM008172.2; chromosome 6:NC_037333.1/CM008173.2; chromosome 7:NC_037334.1/CM008174.2; chromosome 8:NC_037335.1/CM008175.2; chromosome 9:NC_037336.1/CM008176.2; chromosome 10:NC_037337.1/CM008177.2; chromosome 11:NC_037338.1/CM008178.2; chromosome 12:NC_037339.1/CM008179.2; chromosome 13:NC_037340.1/CM008180.2; chromosome 14:NC_037341.1/CM008181.2; chromosome 15:NC_037342.1/CM008182.2; chromosome 16:NC_037343.1/CM008183.2; chromosome 17:NC_037344.1/CM008184.2; chromosome 18:NC_037345.1/CM008185.2; chromosome 19:NC_037346.1/CM008186.2; chromosome 20:NC_037347.1/CM008187.2; chromosome 21:NC_037348.1/CM008188.2; chromosome 22:NC_037349.1/CM008189.2; chromosome 23:NC_037350.1/CM008190.2; chromosome 24:NC_037351.1/CM008191.2; chromosome 25:NC_037352.1/CM008192.2; chromosome 26:NC_037353.1/CM008193.2; chromosome 27:NC_037354.1/CM008194.2; chromosome 28:NC_037355.1/CM008195.2; chromosome 29:NC_037356.1/CM008196.2; chromosome X:NC_037357.1/CM008197.2; chromosome Y:NC_082638.1/CP128563.1; mitochondrion MT:NC_006853.1/CM008198.1	NKLS02	1958	35487.0	64077.0	2017/08/21	2018/05/11	Chromosome	NCBI		1.8056471383887058
73	Strongylocentrotus purpuratus	7668	PRJNA10736	10736	Animals	Other Animals	921.856	37.4001	GCA_000002235.4	mitochondrion MT:NC_001453.1/	AAGJ06	871	33528.0	38439.0	2005/03/11	2019/09/06	Scaffold	Baylor College of Medicine	SAMN00829422	1.1464745884037222
75	Populus trichocarpa	3694	PRJNA10772	10772	Plants	Land Plants	392.319	33.775	GCA_000002775.4	chloroplast Pltd:NC_009143.1/	AARH04	106	34843.0	52498.0	2006/09/14	2022/10/20	Chromosome	US DOE Joint Genome Institute (JGI	SAMN02953657	1.5067014895387882
76	Sorghum bicolor	4558	PRJNA13876	13876	Plants	Land Plants	709.345	44.1611	GCA_000003195.3	chromosome 1:NC_012870.2/CM000760.3; chromosome 2:NC_012871.2/CM000761.3; chromosome 3:NC_012872.2/CM000762.3; chromosome 4:NC_012873.2/CM000763.3; chromosome 5:NC_012874.2/CM000764.3; chromosome 6:NC_012875.2/CM000765.3; chromosome 7:NC_012876.2/CM000766.3; chromosome 8:NC_012877.2/CM000767.3; chromosome 9:NC_012878.2/CM000768.3; chromosome 10:NC_012879.2/CM000769.3; mitochondrion MT:NC_008360.1/; chloroplast Pltd:NC_008602.1/	ABXC03	869	32945.0	39248.0	2009/05/22	2017/04/07	Chromosome	Sorghum Consortium	SAMN02953738	1.1913188647746245
77	Sus scrofa	9823	PRJNA13421	13421	Animals	Mammals	2501.91	41.971	GCA_000003025.6	chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/	AEMK02	706	30388.0	63577.0	2008/07/11	2018/01/12	Chromosome	The Swine Genome Sequencing Consortium (SGSC)	SAMN02953785	2.0921745425825984
78	Ovis aries	9940	PRJNA739192	739192	Animals	Mammals	2654.06	42.0046	GCA_016772045.2	chromosome 1:NC_056054.1/CM028704.1; chromosome 2:NC_056055.1/CM028705.1; chromosome 3:NC_056056.1/CM028706.1; chromosome 4:NC_056057.1/CM028707.1; chromosome 5:NC_056058.1/CM028708.1; chromosome 6:NC_056059.1/CM028709.1; chromosome 7:NC_056060.1/CM028710.1; chromosome 8:NC_056061.1/CM028711.1; chromosome 9:NC_056062.1/CM028712.1; chromosome 10:NC_056063.1/CM028713.1; chromosome 11:NC_056064.1/CM028714.1; chromosome 12:NC_056065.1/CM028715.1; chromosome 13:NC_056066.1/CM028716.1; chromosome 14:NC_056067.1/CM028717.1; chromosome 15:NC_056068.1/CM028718.1; chromosome 16:NC_056069.1/CM028719.1; chromosome 17:NC_056070.1/CM028720.1; chromosome 18:NC_056071.1/CM028721.1; chromosome 19:NC_056072.1/CM028722.1; chromosome 20:NC_056073.1/CM028723.1; chromosome 21:NC_056074.1/CM028724.1; chromosome 22:NC_056075.1/CM028725.1; chromosome 23:NC_056076.1/CM028726.1; chromosome 24:NC_056077.1/CM028727.1; chromosome 25:NC_056078.1/CM028728.1; chromosome 26:NC_056079.1/CM028729.1; chromosome X:NC_056080.1/CM028730.1; chromosome Y:NC_082741.1/CP128831.1; mitochondrion MT:NC_001941.1/CM028731.1	JAEVFA01	143	35109.0	76699.0	2021/01/29	2021/02/03	Chromosome	NCBI		2.1845965421971574
79	Ornithorhynchus anatinus	9258	PRJNA534073	534073	Animals	Mammals	1859.28	46.1721	GCA_004115215.4	chromosome 1:NC_041728.1/CM014200.1; chromosome 2:NC_041729.1/CM014201.1; chromosome 3:NC_041730.1/CM014202.1; chromosome 4:NC_041731.1/CM014203.1; chromosome 5:NC_041732.1/CM014204.1; chromosome 6:NC_041733.1/CM014205.1; chromosome 7:NC_041734.1/CM014206.1; chromosome 8:NC_041735.1/CM014207.1; chromosome 9:NC_041736.1/CM014208.1; chromosome 10:NC_041737.1/CM014209.1; chromosome 11:NC_041738.1/CM014210.1; chromosome 12:NC_041739.1/CM014211.1; chromosome 13:NC_041740.1/CM014212.1; chromosome 14:NC_041741.1/CM014213.1; chromosome 15:NC_041742.1/CM014214.1; chromosome 16:NC_041743.1/CM014215.1; chromosome 17:NC_041744.1/CM014216.1; chromosome 18:NC_041745.1/CM014217.1; chromosome 19:NC_041746.1/CM014218.1; chromosome 20:NC_041747.1/CM014219.1; chromosome 21:NC_041748.1/CM014220.1; chromosome X1:NC_041749.1/CM014221.1; chromosome X2:NC_041750.1/CM014222.1; chromosome X3:NC_041751.1/CM014223.1; chromosome X4:NC_041752.1/CM014224.1; chromosome X5:NC_041753.1/CM014225.1; chromosome Y1:NC_053175.1/CM022557.1; chromosome Y2:NC_053176.1/CM026824.1; chromosome Y3:NC_053177.1/CM026825.1; chromosome Y4:NC_053178.1/CM022558.1; chromosome Y5:NC_053179.1/CM026826.1; mitochondrion MT:NC_000891.1/CM016609.2	RZJT02	322	30504.0	38747.0	2019/01/28	2021/03/08	Chromosome	NCBI	SAMN08537700	1.2702268554943614
80	Gallus gallus	9031	PRJNA698609	698609	Animals	Birds	1053.33	42.2233	GCA_016699485.1	chromosome 1:NC_052532.1/CM028482.1; chromosome 2:NC_052533.1/CM028483.1; chromosome 3:NC_052534.1/CM028484.1; chromosome 4:NC_052535.1/CM028485.1; chromosome 5:NC_052536.1/CM028486.1; chromosome 6:NC_052537.1/CM028487.1; chromosome 7:NC_052538.1/CM028488.1; chromosome 8:NC_052539.1/CM028489.1; chromosome 9:NC_052540.1/CM028490.1; chromosome 10:NC_052541.1/CM028491.1; chromosome 11:NC_052542.1/CM028492.1; chromosome 12:NC_052543.1/CM028493.1; chromosome 13:NC_052544.1/CM028494.1; chromosome 14:NC_052545.1/CM028495.1; chromosome 15:NC_052546.1/CM028496.1; chromosome 16:NC_052547.1/CM028497.1; chromosome 17:NC_052548.1/CM028498.1; chromosome 18:NC_052549.1/CM028499.1; chromosome 19:NC_052550.1/CM028500.1; chromosome 20:NC_052551.1/CM028501.1; chromosome 21:NC_052552.1/CM028502.1; chromosome 22:NC_052553.1/CM028503.1; chromosome 23:NC_052554.1/CM028504.1; chromosome 24:NC_052555.1/CM028505.1; chromosome 25:NC_052556.1/CM028506.1; chromosome 26:NC_052557.1/CM028507.1; chromosome 27:NC_052558.1/CM028508.1; chromosome 28:NC_052559.1/CM028509.1; chromosome 29:NC_052560.1/CM028510.1; chromosome 30:NC_052561.1/CM028511.1; chromosome 31:NC_052562.1/CM028512.1; chromosome 32:NC_052563.1/CM028513.1; chromosome 33:NC_052564.1/CM028514.1; chromosome 34:NC_052565.1/CM028515.1; chromosome 35:NC_052566.1/CM028516.1; chromosome 36:NC_052567.1/CM028517.1; chromosome 37:NC_052568.1/CM028518.1; chromosome 38:NC_052569.1/CM028519.1; chromosome 39:NC_052570.1/CM028520.1; chromosome W:NC_052571.1/CM028521.1; chromosome Z:NC_052572.1/CM028522.1; mitochondrion MT:NC_053523.1/CM028585.1	JAENSK01	214	25638.0	68684.0	2021/01/13	2022/04/12	Chromosome	NCBI	SAMN15960293	2.6789921210702863
81	Xenopus laevis	8355	PRJNA338693	338693	Animals	Amphibians	2742.47	39.3485	GCA_017654675.1	chromosome 1L:NC_054371.1/CM030340.1; chromosome 1S:NC_054372.1/CM030341.1; chromosome 2L:NC_054373.1/CM030342.1; chromosome 2S:NC_054374.1/CM030343.1; chromosome 3L:NC_054375.1/CM030344.1; chromosome 3S:NC_054376.1/CM030345.1; chromosome 4L:NC_054377.1/CM030346.1; chromosome 4S:NC_054378.1/CM030347.1; chromosome 5L:NC_054379.1/CM030348.1; chromosome 5S:NC_054380.1/CM030349.1; chromosome 6L:NC_054381.1/CM030350.1; chromosome 6S:NC_054382.1/CM030351.1; chromosome 7L:NC_054383.1/CM030352.1; chromosome 7S:NC_054384.1/CM030353.1; chromosome 8L:NC_054385.1/CM030354.1; chromosome 8S:NC_054386.1/CM030355.1; chromosome 9_10L:NC_054387.1/CM030356.1; chromosome 9_10S:NC_054388.1/CM030357.1; mitochondrion MT:NC_001573.1/	JAGEVR01	55	44481.0	72913.0	2021/03/31	2021/04/12	Chromosome	NCBI	SAMN18035302	1.6391942627189138
